자치구,대여소명,기준년월,대여건수,반납건수
강남구,2407. 역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),202207," 1,616 "," 1,599 "
강남구,2408. 강남한양수자인아파트,202207," 1,089 "," 1,047 "
강남구,2409. 역삼동 디오슈페리움 (우성아파트 사거리),202207, 919 , 917 
강남구,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),202207, 667 , 574 
강남구,2411. 세곡동 성당,202207, 957 ," 1,008 "
강남구,2412. 일원1동 주민센터,202207," 1,238 "," 1,331 "
강남구,2413.도곡역 1번 출구,202207," 1,086 "," 1,068 "
강남구,2414. 도곡역 아카데미스위트 앞,202207," 1,727 "," 1,773 "
강남구,2415.한티역 롯데백화점 앞,202207," 1,157 "," 1,157 "
강남구,2416.한티역 6번 출구,202207, 616 , 445 
강남구,2417.선정릉 디캠프(D.CAMP)앞,202207, 301 , 294 
강남구,2418.봉은사역 7번 출구 ,202207, 887 , 893 
강남구,"2419.봉은사역 1,2번 출구 ",202207, 760 , 736 
강남구,2420.학여울역 사거리(LG베스트샵 앞),202207, 964 , 856 
강남구,2421. 신논현역 4번출구,202207, 879 , 686 
강남구,2422.수서동 성당 맞은편,202207, 642 , 782 
강남구,2423.영희초교 사거리(래미안개포루체하임),202207," 1,200 "," 1,342 "
강남구,2425.세곡동 사거리(대왕초등학교 정류장),202207, 197 , 203 
강남구,2426.강남한신휴플러스 6단지,202207, 637 , 645 
강남구,2427.개포고등학교 정문앞,202207, 386 , 386 
강남구,2428.롯데리아 개포점앞,202207, 437 , 460 
강남구,2429.압구정로데오역 6번출구,202207," 1,054 "," 1,040 "
강남구,2430.강남파이낸스센터앞(역삼역2번출구),202207, 659 , 525 
강남구,2431.대치역 7번출구,202207," 1,641 "," 1,688 "
강남구,3602. 한국지역난방공사강남지사,202207, 348 , 386 
강남구,3604. 삼성중앙역 5번출구,202207, 889 , 569 
강남구,3606. 신사동주민센터 옆,202207, 882 , 887 
강남구,3609. 언주초등학교 입구,202207, 685 , 591 
강남구,3610. 윗반마을 입구,202207, 126 , 121 
강남구,3611. 방죽마을 입구,202207, 320 , 328 
강남구,3612. 은곡마을,202207, 598 , 616 
강남구,3614. 은마아파트 입구 사거리,202207," 1,299 "," 1,310 "
강남구,3615. 서울 논현동우체국 앞,202207, 256 , 232 
강남구,3616. 역삼중학교 앞(체육관 방향),202207, 319 , 273 
강남구,3618. 서울율현초교 삼거리,202207, 802 , 936 
강남구,3620. 청담역 11번 출구,202207, 331 , 80 
강남구,3621. 휘문고교 사거리,202207, 357 , 261 
강남구,3622. 은마아파트입구 사거리(1),202207, 253 , 209 
강남구,3623. 일원에코파크 앞(개포로 방면),202207, 696 , 749 
강남구,3624. 대모산입구역 7번 출구 앞,202207, 317 , 186 
강남구,3627. 압구정나들목,202207," 2,074 "," 2,102 "
강남구,3628. 역삼1동 주민센터,202207," 1,159 "," 1,156 "
강남구,3629. 청담사거리(신한오피스텔빌딩 앞),202207, 695 , 792 
강남구,3630. 개포우성6차아파트 정문 앞,202207, 399 , 346 
강남구,3634. 국악고교 앞 교차로,202207, 361 , 360 
강남구,3636. 삼성중앙역·플래티넘아파트 정류소,202207, 571 , 575 
강남구,3637. 세곡데이케어센터,202207, 240 , 222 
강남구,3638. 신청담나들목,202207, 507 , 515 
강남구,3640. 일원1동주민센터앞 사거리,202207, 510 , 522 
강남구,3641. 대청역,202207, 588 , 599 
강남구,3642. LH강남힐스테이트아파트,202207, 719 , 332 
강남구,3643. 더시그넘하우스 앞,202207, 618 , 626 
강남구,3644. 상록수아파트,202207, 621 , 318 
강남구,3646. 선정릉역 4번 출구,202207, 327 , 324 
강남구,3647. 구룡역 1번 출구,202207, 270 , 210 
강남구,3648. 구룡역 4번 출구,202207, 175 , 172 
강남구,3649. 구룡역 5번 출구,202207, 209 , 194 
강남구,3651. 개포동역 4번출구,202207," 1,110 "," 1,126 "
강남구,4901.KT&G타워 옆(상상마당 대치아트홀),202207, 445 , 371 
강남구,4902. 구역삼세무서 교차로,202207, 915 , 913 
강남구,4903. 신사스퀘어,202207, 334 , 336 
강남구,4905. 강남경찰서,202207," 1,274 "," 1,277 "
강남구,4906. 섬유센터 앞,202207," 1,576 "," 1,580 "
강남구,4907. 극동스포츠 앞,202207, 420 , 421 
강남구,4908. SB타워 앞,202207, 198 , 183 
강남구,4909. 노보텔 앰배서더 앞,202207, 99 , 31 
